occupation	parent
901	327055
901	483501
901	702269
901	1650915
901	2500638
901	20826540
901	24229398
28640	192581
28640	6958747
47064	327055
47064	703534
47064	1250916
47064	1414937
47064	24229398
81096	327055
81096	24229398
82955	327055
82955	702269
82955	24229398
131512	327055
131512	24229398
189290	28640
189290	47064
189290	192581
189290	327055
189290	703534
189290	1250916
189290	1414937
189290	4164871
189290	6958747
189290	24229398
189290	61022630
192581	6958747
327055	24229398
372436	82955
372436	327055
372436	702269
372436	24229398
483501	327055
483501	702269
483501	24229398
702269	327055
702269	24229398
703534	327055
703534	24229398
901402	901
901402	327055
901402	483501
901402	702269
901402	1650915
901402	2500638
901402	11424604
901402	20826540
901402	24229398
1250916	1414937
1250916	24229398
1414937	24229398
1650915	327055
1650915	483501
1650915	702269
1650915	2500638
1650915	24229398
1734662	901
1734662	327055
1734662	483501
1734662	702269
1734662	901402
1734662	1650915
1734662	2500638
1734662	3391743
1734662	11424604
1734662	20826540
1734662	24229398
2500638	327055
2500638	483501
2500638	702269
2500638	24229398
3391743	327055
3391743	483501
3391743	702269
3391743	24229398
5352191	24229398
10076267	16869121
10076267	24229398
11424604	901
11424604	327055
11424604	483501
11424604	702269
11424604	1650915
11424604	2500638
11424604	20826540
11424604	24229398
11699606	901
11699606	327055
11699606	483501
11699606	702269
11699606	1650915
11699606	2500638
11699606	5352191
11699606	11424604
11699606	20826540
11699606	24229398
16869121	24229398
20826540	24229398
61022630	4164871
28389	36180
28389	327055
28389	482980
28389	483501
28389	702269
28389	2500638
28389	24229398
33999	327055
33999	483501
33999	702269
33999	24229398
36180	327055
36180	482980
36180	483501
36180	702269
36180	2500638
36180	24229398
214917	28389
214917	36180
214917	327055
214917	482980
214917	483501
214917	702269
214917	2500638
214917	24229398
245068	33999
245068	327055
245068	483501
245068	702269
245068	713200
245068	24229398
327055	24229398
482980	327055
482980	483501
482980	702269
482980	2500638
482980	24229398
483501	327055
483501	702269
483501	24229398
702269	327055
702269	24229398
713200	327055
713200	483501
713200	702269
713200	24229398
2500638	327055
2500638	483501
2500638	702269
2500638	24229398
4853732	36180
4853732	327055
4853732	482980
4853732	483501
4853732	702269
4853732	2500638
4853732	24229398
6625963	36180
6625963	327055
6625963	482980
6625963	483501
6625963	702269
6625963	2500638
6625963	24229398
18844224	36180
18844224	327055
18844224	482980
18844224	483501
18844224	702269
18844224	2500638
18844224	24229398
18844224	28225718
28225718	36180
28225718	327055
28225718	482980
28225718	483501
28225718	702269
28225718	2500638
28225718	24229398
36180	327055
36180	482980
36180	483501
36180	702269
36180	2500638
36180	24229398
40348	185351
40348	24229398
82955	327055
82955	702269
82955	24229398
185351	24229398
327055	24229398
372436	82955
372436	327055
372436	702269
372436	24229398
482980	327055
482980	483501
482980	702269
482980	2500638
482980	24229398
483501	327055
483501	702269
483501	24229398
702269	327055
702269	24229398
2500638	327055
2500638	483501
2500638	702269
2500638	24229398
15253558	24229398
15980158	36180
15980158	327055
15980158	482980
15980158	483501
15980158	702269
15980158	2500638
15980158	24229398
901	327055
901	483501
901	702269
901	1650915
901	2500638
901	20826540
901	24229398
28640	192581
28640	6958747
37226	28640
37226	192581
37226	327055
37226	702269
37226	974144
37226	6958747
37226	20826540
37226	24229398
43845	327055
43845	702269
43845	24229398
81096	327055
81096	24229398
82594	901
82594	28640
82594	192581
82594	327055
82594	483501
82594	702269
82594	1650915
82594	2500638
82594	5157565
82594	6958747
82594	20826540
82594	24229398
169470	901
169470	327055
169470	483501
169470	702269
169470	1650915
169470	2500638
169470	20826540
169470	24229398
183888	28640
183888	81096
183888	192581
183888	327055
183888	1572123
183888	1709010
183888	5157565
183888	6958747
183888	24229398
192581	6958747
205375	81096
205375	327055
205375	483501
205375	702269
205375	2500638
205375	24229398
327055	24229398
482980	327055
482980	483501
482980	702269
482980	2500638
482980	24229398
483501	327055
483501	702269
483501	24229398
702269	327055
702269	24229398
974144	28640
974144	192581
974144	327055
974144	702269
974144	6958747
974144	20826540
974144	24229398
1572123	81096
1572123	327055
1572123	24229398
1622272	28640
1622272	37226
1622272	43845
1622272	192581
1622272	327055
1622272	702269
1622272	974144
1622272	3400985
1622272	4359236
1622272	5428874
1622272	6958747
1622272	20826540
1622272	24229398
1650915	327055
1650915	483501
1650915	702269
1650915	2500638
1650915	24229398
1709010	28640
1709010	81096
1709010	192581
1709010	327055
1709010	1572123
1709010	5157565
1709010	6958747
1709010	24229398
2500638	327055
2500638	483501
2500638	702269
2500638	24229398
3400985	28640
3400985	37226
3400985	192581
3400985	327055
3400985	702269
3400985	974144
3400985	6958747
3400985	20826540
3400985	24229398
4359236	28640
4359236	43845
4359236	192581
4359236	327055
4359236	702269
4359236	6958747
4359236	24229398
5157565	28640
5157565	192581
5157565	6958747
5428874	28640
5428874	37226
5428874	43845
5428874	192581
5428874	327055
5428874	702269
5428874	974144
5428874	3400985
5428874	4359236
5428874	6958747
5428874	20826540
5428874	24229398
5482740	28640
5482740	81096
5482740	183888
5482740	192581
5482740	327055
5482740	482980
5482740	483501
5482740	702269
5482740	1572123
5482740	1709010
5482740	2500638
5482740	5157565
5482740	6958747
5482740	24229398
20826540	24229398
28640	192581
28640	6958747
40348	185351
40348	24229398
47064	327055
47064	703534
47064	1250916
47064	1414937
47064	24229398
82955	327055
82955	702269
82955	24229398
131512	327055
131512	24229398
185351	24229398
189290	28640
189290	47064
189290	192581
189290	327055
189290	703534
189290	1250916
189290	1414937
189290	4164871
189290	6958747
189290	24229398
189290	61022630
192581	6958747
212238	327055
212238	572700
212238	702269
212238	703534
212238	978044
212238	1162163
212238	1251441
212238	2462658
212238	16532929
212238	24229398
212238	25713832
212238	80363469
327055	24229398
372436	82955
372436	327055
372436	702269
372436	24229398
572700	327055
572700	702269
572700	978044
572700	1162163
572700	1251441
572700	2462658
572700	16532929
572700	24229398
572700	25713832
599151	212238
599151	327055
599151	572700
599151	702269
599151	703534
599151	978044
599151	1162163
599151	1251441
599151	2462658
599151	16532929
599151	24229398
599151	25713832
599151	80363469
702269	327055
702269	24229398
703534	327055
703534	24229398
978044	327055
978044	702269
978044	24229398
1162163	327055
1162163	702269
1162163	978044
1162163	1251441
1162163	2462658
1162163	24229398
1162163	25713832
1250916	1414937
1250916	24229398
1251441	24229398
1414937	24229398
2462658	327055
2462658	702269
2462658	978044
2462658	1251441
2462658	24229398
2462658	25713832
16532929	327055
16532929	702269
16532929	978044
16532929	1162163
16532929	1251441
16532929	2462658
16532929	24229398
16532929	25713832
25713832	327055
25713832	702269
25713832	978044
25713832	1251441
25713832	24229398
61022630	4164871
80363469	327055
80363469	703534
80363469	24229398
40348	185351
40348	24229398
82955	327055
82955	702269
82955	24229398
185351	24229398
212238	327055
212238	572700
212238	702269
212238	703534
212238	978044
212238	1162163
212238	1251441
212238	2462658
212238	16532929
212238	24229398
212238	25713832
212238	80363469
327055	24229398
372436	82955
372436	327055
372436	702269
372436	24229398
572700	327055
572700	702269
572700	978044
572700	1162163
572700	1251441
572700	2462658
572700	16532929
572700	24229398
572700	25713832
599151	212238
599151	327055
599151	572700
599151	702269
599151	703534
599151	978044
599151	1162163
599151	1251441
599151	2462658
599151	16532929
599151	24229398
599151	25713832
599151	80363469
702269	327055
702269	24229398
703534	327055
703534	24229398
978044	327055
978044	702269
978044	24229398
1162163	327055
1162163	702269
1162163	978044
1162163	1251441
1162163	2462658
1162163	24229398
1162163	25713832
1251441	24229398
2462658	327055
2462658	702269
2462658	978044
2462658	1251441
2462658	24229398
2462658	25713832
4594605	185351
4594605	212238
4594605	327055
4594605	572700
4594605	599151
4594605	702269
4594605	703534
4594605	978044
4594605	1162163
4594605	1251441
4594605	2462658
4594605	16532929
4594605	24229398
4594605	25713832
4594605	80363469
16532929	327055
16532929	702269
16532929	978044
16532929	1162163
16532929	1251441
16532929	2462658
16532929	24229398
16532929	25713832
25713832	327055
25713832	702269
25713832	978044
25713832	1251441
25713832	24229398
80363469	327055
80363469	703534
80363469	24229398
901	327055
901	483501
901	702269
901	1650915
901	2500638
901	20826540
901	24229398
28640	192581
28640	6958747
36180	327055
36180	482980
36180	483501
36180	702269
36180	2500638
36180	24229398
43845	327055
43845	702269
43845	24229398
82594	901
82594	28640
82594	192581
82594	327055
82594	483501
82594	702269
82594	1650915
82594	2500638
82594	5157565
82594	6958747
82594	20826540
82594	24229398
131524	43845
131524	327055
131524	702269
131524	24229398
192581	6958747
327055	24229398
482980	327055
482980	483501
482980	702269
482980	2500638
482980	24229398
483501	327055
483501	702269
483501	24229398
702269	327055
702269	24229398
1650915	327055
1650915	483501
1650915	702269
1650915	2500638
1650915	24229398
2500638	327055
2500638	483501
2500638	702269
2500638	24229398
5157565	28640
5157565	192581
5157565	6958747
8246794	36180
8246794	327055
8246794	482980
8246794	483501
8246794	702269
8246794	2500638
8246794	24229398
20826540	24229398
901	327055
901	483501
901	702269
901	1650915
901	2500638
901	20826540
901	24229398
28640	192581
28640	6958747
36180	327055
36180	482980
36180	483501
36180	702269
36180	2500638
36180	24229398
43845	327055
43845	702269
43845	24229398
82594	901
82594	28640
82594	192581
82594	327055
82594	483501
82594	702269
82594	1650915
82594	2500638
82594	5157565
82594	6958747
82594	20826540
82594	24229398
192581	6958747
327055	24229398
482980	327055
482980	483501
482980	702269
482980	2500638
482980	24229398
483501	327055
483501	702269
483501	24229398
702269	327055
702269	24229398
1650915	327055
1650915	483501
1650915	702269
1650915	2500638
1650915	24229398
2500638	327055
2500638	483501
2500638	702269
2500638	24229398
4964182	327055
4964182	483501
4964182	702269
4964182	1650915
4964182	2500638
4964182	16727193
4964182	20826540
4964182	24229398
5157565	28640
5157565	192581
5157565	6958747
8246794	36180
8246794	327055
8246794	482980
8246794	483501
8246794	702269
8246794	2500638
8246794	24229398
16727193	327055
16727193	483501
16727193	702269
16727193	1650915
16727193	2500638
16727193	20826540
16727193	24229398
20826540	24229398
901	327055
901	483501
901	702269
901	1650915
901	2500638
901	20826540
901	24229398
28640	192581
28640	6958747
36180	327055
36180	482980
36180	483501
36180	702269
36180	2500638
36180	24229398
81096	327055
81096	24229398
82594	901
82594	28640
82594	192581
82594	327055
82594	483501
82594	702269
82594	1650915
82594	2500638
82594	5157565
82594	6958747
82594	20826540
82594	24229398
192581	6958747
327055	24229398
482980	327055
482980	483501
482980	702269
482980	2500638
482980	24229398
483501	327055
483501	702269
483501	24229398
702269	327055
702269	24229398
1572123	81096
1572123	327055
1572123	24229398
1650915	327055
1650915	483501
1650915	702269
1650915	2500638
1650915	24229398
1709010	28640
1709010	81096
1709010	192581
1709010	327055
1709010	1572123
1709010	5157565
1709010	6958747
1709010	24229398
2500638	327055
2500638	483501
2500638	702269
2500638	24229398
4197743	24229398
5157565	28640
5157565	192581
5157565	6958747
5165152	4197743
5165152	18536342
5165152	24229398
8246794	36180
8246794	327055
8246794	482980
8246794	483501
8246794	702269
8246794	2500638
8246794	24229398
15980158	36180
15980158	327055
15980158	482980
15980158	483501
15980158	702269
15980158	2500638
15980158	24229398
15980804	327055
15980804	702269
15980804	24229398
18536342	4197743
18536342	24229398
20826540	24229398
82955	327055
82955	702269
82955	24229398
327055	24229398
702269	327055
702269	24229398
