id	label	lang
889	Afghanistan	en
222	Albania	en
262	Algeria	en
228	Andorra	en
916	Angola	en
781	Antigua and Barbuda	en
414	Argentina	en
399	Armenia	en
408	Australia	en
40	Austria	en
227	Azerbaijan	en
398	Bahrain	en
902	Bangladesh	en
244	Barbados	en
184	Belarus	en
31	Belgium	en
242	Belize	en
962	Benin	en
917	Bhutan	en
750	Bolivia	en
225	Bosnia and Herzegovina	en
963	Botswana	en
155	Brazil	en
921	Brunei	en
219	Bulgaria	en
965	Burkina Faso	en
967	Burundi	en
424	Cambodia	en
1009	Cameroon	en
16	Canada	en
1011	Cape Verde	en
929	Central African Republic	en
657	Chad	en
298	Chile	en
739	Colombia	en
970	Comoros	en
800	Costa Rica	en
224	Croatia	en
241	Cuba	en
229	Cyprus	en
213	Czech Republic	en
974	Democratic Republic of the Congo	en
35	Denmark	en
977	Djibouti	en
784	Dominica	en
786	Dominican Republic	en
574	East Timor	en
736	Ecuador	en
79	Egypt	en
792	El Salvador	en
983	Equatorial Guinea	en
986	Eritrea	en
191	Estonia	en
1050	Eswatini	en
115	Ethiopia	en
702	Federated States of Micronesia	en
712	Fiji	en
33	Finland	en
142	France	en
1000	Gabon	en
230	Georgia	en
183	Germany	en
117	Ghana	en
41	Greece	en
769	Grenada	en
774	Guatemala	en
1006	Guinea	en
1007	Guinea-Bissau	en
734	Guyana	en
790	Haiti	en
783	Honduras	en
28	Hungary	en
189	Iceland	en
668	India	en
252	Indonesia	en
794	Iran	en
796	Iraq	en
27	Ireland	en
801	Israel	en
38	Italy	en
1008	Ivory Coast	en
766	Jamaica	en
17	Japan	en
810	Jordan	en
232	Kazakhstan	en
114	Kenya	en
756617	Kingdom of Denmark	en
29999	Kingdom of the Netherlands	en
710	Kiribati	en
817	Kuwait	en
813	Kyrgyzstan	en
819	Laos	en
211	Latvia	en
822	Lebanon	en
1013	Lesotho	en
1014	Liberia	en
1016	Libya	en
347	Liechtenstein	en
37	Lithuania	en
32	Luxembourg	en
1019	Madagascar	en
1020	Malawi	en
833	Malaysia	en
826	Maldives	en
912	Mali	en
233	Malta	en
709	Marshall Islands	en
1025	Mauritania	en
1027	Mauritius	en
96	Mexico	en
217	Moldova	en
235	Monaco	en
711	Mongolia	en
236	Montenegro	en
1028	Morocco	en
1029	Mozambique	en
836	Myanmar	en
1030	Namibia	en
697	Nauru	en
837	Nepal	en
664	New Zealand	en
811	Nicaragua	en
1032	Niger	en
1033	Nigeria	en
423	North Korea	en
221	North Macedonia	en
20	Norway	en
842	Oman	en
843	Pakistan	en
695	Palau	en
804	Panama	en
691	Papua New Guinea	en
733	Paraguay	en
148	People's Republic of China	en
419	Peru	en
928	Philippines	en
36	Poland	en
45	Portugal	en
846	Qatar	en
971	Republic of the Congo	en
218	Romania	en
159	Russia	en
1037	Rwanda	en
763	Saint Kitts and Nevis	en
760	Saint Lucia	en
757	Saint Vincent and the Grenadines	en
683	Samoa	en
238	San Marino	en
851	Saudi Arabia	en
1041	Senegal	en
403	Serbia	en
1042	Seychelles	en
1044	Sierra Leone	en
334	Singapore	en
214	Slovakia	en
215	Slovenia	en
685	Solomon Islands	en
1045	Somalia	en
258	South Africa	en
884	South Korea	en
958	South Sudan	en
29	Spain	en
854	Sri Lanka	en
1049	Sudan	en
730	Suriname	en
34	Sweden	en
39	Switzerland	en
858	Syria	en
1039	São Tomé and Príncipe	en
863	Tajikistan	en
924	Tanzania	en
869	Thailand	en
778	The Bahamas	en
1005	The Gambia	en
945	Togo	en
678	Tonga	en
754	Trinidad and Tobago	en
948	Tunisia	en
43	Turkey	en
874	Turkmenistan	en
672	Tuvalu	en
1036	Uganda	en
212	Ukraine	en
878	United Arab Emirates	en
145	United Kingdom	en
30	United States of America	en
77	Uruguay	en
265	Uzbekistan	en
686	Vanuatu	en
237	Vatican City	en
717	Venezuela	en
881	Vietnam	en
805	Yemen	en
953	Zambia	en
954	Zimbabwe	en
